,ID,D_Batch,D_gas,D_Glp,D_Reg_variable,D_capex_perfo,I_GLP,I_API_GLP_M,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,0.0,1.0,0.0,1.0,2.0,6000.0,2.5,0.8,0.9,-95.48025303880522,101.56092597651714,597.2624922247281,2358.0105068632065
1,1.0,0.0,1.0,0.0,1.0,2.0,7000.0,3.5,0.9,0.95,-126.24027025469344,101.11440725296656,637.393003752819,2360.212439682155
2,2.0,0.0,1.0,0.0,1.0,2.0,7000.0,2.0,0.9,0.95,-126.24027025469344,101.11440725296656,637.393003752819,2360.212439682155
3,3.0,0.0,1.0,0.0,1.0,2.0,6000.0,2.0,0.7,0.95,-73.67269577419749,101.11440725296656,557.1319806966371,2360.212439682155
4,4.0,0.0,1.0,0.0,1.0,2.0,8000.0,2.0,0.9,0.95,-126.24027025469344,101.11440725296656,637.393003752819,2360.212439682155
5,5.0,0.0,1.0,0.0,1.0,2.0,7000.0,3.0,0.7,0.9,-69.28459553478964,101.56092597651714,557.1319806966371,2358.0105068632065
6,6.0,0.0,1.0,0.0,1.0,2.0,7000.0,3.5,0.8,0.9,-95.48025303880522,101.56092597651714,597.2624922247281,2358.0105068632065
7,7.0,0.0,1.0,0.0,1.0,2.0,5000.0,3.5,0.9,0.95,-126.24027025469344,101.11440725296656,637.393003752819,2360.212439682155
8,8.0,0.0,1.0,0.0,1.0,2.0,7000.0,3.5,0.9,1.0,-130.6687513845463,100.66422021179234,637.393003752819,2362.239616613371
9,9.0,0.0,1.0,0.0,1.0,2.0,8000.0,2.0,0.8,1.0,-104.37561788859705,100.66422021179234,597.2624922247281,2362.239616613371
10,10.0,0.0,1.0,0.0,1.0,2.0,5000.0,3.0,0.8,0.95,-99.93244730854435,101.11440725296656,597.2624922247281,2360.212439682155
11,11.0,0.0,1.0,0.0,1.0,2.0,5000.0,2.0,0.8,0.9,-95.48025303880522,101.56092597651714,597.2624922247281,2358.0105068632065
12,12.0,0.0,1.0,0.0,1.0,2.0,7000.0,3.5,1.0,0.9,-148.12478115988065,101.56092597651714,677.52351528091,2358.0105068632065
13,13.0,0.0,1.0,0.0,1.0,2.0,7000.0,2.5,0.7,1.0,-78.0824843926477,100.66422021179234,557.1319806966371,2362.239616613371
14,14.0,0.0,1.0,0.0,1.0,2.0,7000.0,4.0,0.8,0.9,-95.48025303880522,101.56092597651714,597.2624922247281,2358.0105068632065
15,15.0,0.0,1.0,0.0,1.0,2.0,6000.0,2.0,0.7,1.0,-78.0824843926477,100.66422021179234,557.1319806966371,2362.239616613371
16,16.0,0.0,1.0,0.0,1.0,2.0,5000.0,4.0,1.0,0.9,-148.12478115988065,101.56092597651714,677.52351528091,2358.0105068632065
17,17.0,0.0,1.0,0.0,1.0,2.0,5000.0,3.0,0.9,0.95,-126.24027025469344,101.11440725296656,637.393003752819,2360.212439682155
18,18.0,0.0,1.0,0.0,1.0,2.0,7000.0,2.5,0.7,1.0,-78.0824843926477,100.66422021179234,557.1319806966371,2362.239616613371
19,19.0,0.0,1.0,0.0,1.0,2.0,8000.0,3.5,0.8,0.9,-95.48025303880522,101.56092597651714,597.2624922247281,2358.0105068632065
20,20.0,0.0,1.0,0.0,1.0,2.0,5000.0,4.0,0.7,0.9,-69.28459553478964,101.56092597651714,557.1319806966371,2358.0105068632065
21,21.0,0.0,1.0,0.0,1.0,2.0,7000.0,2.5,0.8,0.95,-99.93244730854435,101.11440725296656,597.2624922247281,2360.212439682155
22,22.0,0.0,1.0,0.0,1.0,2.0,5000.0,3.0,0.7,0.9,-69.28459553478964,101.56092597651714,557.1319806966371,2358.0105068632065
23,23.0,0.0,1.0,0.0,1.0,2.0,5000.0,4.0,1.0,1.0,-156.9618848804957,100.66422021179234,677.52351528091,2362.239616613371
24,24.0,0.0,1.0,0.0,1.0,2.0,7000.0,2.5,0.9,0.9,-121.80251709934294,101.56092597651714,637.393003752819,2358.0105068632065
25,25.0,0.0,1.0,0.0,1.0,2.0,7000.0,3.0,1.0,0.9,-148.12478115988065,101.56092597651714,677.52351528091,2358.0105068632065
26,26.0,0.0,1.0,0.0,1.0,2.0,6000.0,3.5,0.7,1.0,-78.0824843926477,100.66422021179234,557.1319806966371,2362.239616613371
27,27.0,0.0,1.0,0.0,1.0,2.0,6000.0,3.5,0.7,1.0,-78.0824843926477,100.66422021179234,557.1319806966371,2362.239616613371
28,28.0,0.0,1.0,0.0,1.0,2.0,8000.0,2.0,0.9,0.9,-121.80251709934294,101.56092597651714,637.393003752819,2358.0105068632065
29,29.0,0.0,1.0,0.0,1.0,2.0,6000.0,2.5,0.8,1.0,-104.37561788859705,100.66422021179234,597.2624922247281,2362.239616613371
30,30.0,0.0,1.0,0.0,1.0,2.0,5000.0,3.0,0.9,1.0,-130.6687513845463,100.66422021179234,637.393003752819,2362.239616613371
31,31.0,0.0,1.0,0.0,1.0,2.0,6000.0,3.5,0.8,1.0,-104.37561788859705,100.66422021179234,597.2624922247281,2362.239616613371
32,32.0,0.0,1.0,0.0,1.0,2.0,6000.0,2.0,0.8,1.0,-104.37561788859705,100.66422021179234,597.2624922247281,2362.239616613371
33,33.0,0.0,1.0,0.0,1.0,2.0,6000.0,2.0,0.8,0.9,-95.48025303880522,101.56092597651714,597.2624922247281,2358.0105068632065
34,34.0,0.0,1.0,0.0,1.0,2.0,6000.0,3.5,1.0,1.0,-156.9618848804957,100.66422021179234,677.52351528091,2362.239616613371
35,35.0,0.0,1.0,0.0,1.0,2.0,6000.0,2.0,0.8,1.0,-104.37561788859705,100.66422021179234,597.2624922247281,2362.239616613371
36,36.0,0.0,1.0,0.0,1.0,2.0,7000.0,3.0,1.0,0.9,-148.12478115988065,101.56092597651714,677.52351528091,2358.0105068632065
37,37.0,0.0,1.0,0.0,1.0,2.0,8000.0,2.0,0.7,0.9,-69.28459553478964,101.56092597651714,557.1319806966371,2358.0105068632065
38,38.0,0.0,1.0,0.0,1.0,2.0,7000.0,2.5,0.9,0.9,-121.80251709934294,101.56092597651714,637.393003752819,2358.0105068632065
39,39.0,0.0,1.0,0.0,1.0,2.0,7000.0,3.5,0.8,0.95,-99.93244730854435,101.11440725296656,597.2624922247281,2360.212439682155
40,40.0,0.0,1.0,0.0,1.0,2.0,6000.0,3.5,0.7,0.95,-73.67269577419749,101.11440725296656,557.1319806966371,2360.212439682155
41,41.0,0.0,1.0,0.0,1.0,2.0,8000.0,2.0,1.0,1.0,-156.9618848804957,100.66422021179234,677.52351528091,2362.239616613371
42,42.0,0.0,1.0,0.0,1.0,2.0,6000.0,2.0,0.7,0.95,-73.67269577419749,101.11440725296656,557.1319806966371,2360.212439682155
